id,restaurant_id,menuparagraph_id,name,description,vegetarian,vegan,allergens,position
51,3,11,Lobster Roll,"Amerikanischer Hummer, Mayonnaise, Hotdog Bun",FALSE,FALSE,,2
52,3,11,Donau Waller,"Pfifferlinge, Estragon, Graubrot",FALSE,FALSE,,3
53,3,11,Macadamia crusted halibut,"Heilbutt unter einer Macadamia Kruste, Kokos, Curry, Mango",FALSE,FALSE,,4
54,3,12,Sorbet,"Zitrone, Himbeere, Kirsche, Cassis, Pfirsich, Gurke | gegen Aufpreis gießen wir gerne die passende Spirituose an",FALSE,FALSE,,1
55,3,13,Miesmuscheln Rheinische Art ( ca. 1kg),"Wurzelgemüse, Pumpernickel, Schnittlauch",FALSE,FALSE,,1
56,3,13,Doanu Waller,"Pfifferlinge, Estragon, Graubrot",FALSE,FALSE,,2
57,3,13,Macadamia crusted halibut,"Heilbutt unter einer Macadamia Kruste, Kokos, Curry, Mango",FALSE,FALSE,,3
58,3,13,Hühner Frikassee vom Maishähnchen,"Gebratene Brust und gezupfte Keule, Reis, Waldpilze, Karotte, Erbsen",FALSE,FALSE,,4
59,3,13,American Barbecue,"Pulled Beef, Spare Ribs, US Flanksteak, Weißkohl BBQ Sauce, Mac and Cheese",FALSE,FALSE,,5
60,3,13,Kotelett vom Duroc Schwein,"Rosmarin Drillinge, Bohnengemüse, Thymianjus",FALSE,FALSE,,6
61,3,13,Trüffeltagliarini,"Australischer Wintertrüffel, Parmesan",FALSE,FALSE,,7
62,3,13,Gegrillte Ofentomate,"Couscous, Dörrobst, Tomatensugo",FALSE,FALSE,,8
63,3,14,Schwarzwälder Kirschtorte,"Kirschwasser, dunkle Schokolade, Sahne",FALSE,FALSE,,1
64,3,14,New York Cheese Cake,"Frischkäse, Blaubeeren, Ahornsirup, Erdbeeren",FALSE,FALSE,,2
65,3,14,Auswahl an Rohmilchkäse,mit Allgäuer Apfelbrot und Feigensenf,FALSE,FALSE,,3
